file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P30_sent140,0.0,7.9668125,P30,-36.92756977201258,-49.500003532127096,1.3437093998678489,13.09413694824165
P29_sent061,0.0,4.1895,P29,-53.21376180305755,-62.53022820608957,1.3331869608088167,23.760412754860415
P26_sent183,0.0,4.0039375,P26,-52.533752748115575,-61.59499740600586,1.332985742649829,17.40676383859805
P29_sent159,0.0,3.0146875,P29,-49.16476797658863,-62.278221823952414,1.3274574692199614,25.771638804991788
P28_sent176,0.0,4.319375,P28,-52.31578851744186,-60.1322699546814,1.3274574692199614,24.988433459177507
P28_sent120,0.0,4.422875,P28,-52.28796608664773,-64.082354121738,1.3274574692199614,23.55042701092318
P22_sent170,0.0,5.001,P22,-52.14469204944779,-54.37620261863426,1.3274574692199614,16.170254426306336
P25_sent161,0.0,4.002,P25,-49.60931611180904,-62.11322250366211,1.3259645468273547,22.899944654820832
P29_sent083,0.0,5.797875,P29,-54.95841330557958,-65.01878338325315,1.3259608634297932,21.551623922921195
P29_sent041,0.0,4.797875,P29,-47.91975434754184,-64.77450370788574,1.3189832081378619,23.633836677119756
P26_sent129,0.0,4.0029375,P26,-54.41290436557789,-58.87792265415192,1.3189832081378619,15.377377007273767
P22_sent066,0.0,5.0039375,P22,-46.633930252259034,-55.03502655029297,1.3189832081378619,17.017972169710163
P22_sent122,0.0,5.0039375,P22,-45.599577999497996,-54.140690290010895,1.3141446326343582,17.28492660425534
P22_sent098,0.0,5.0019375,P22,-50.429589451556225,-57.16296860267376,1.3141446326343582,17.127309109698295
P28_sent114,0.0,2.590875,P28,-41.671920598249024,-52.83124690585666,1.3128766195302564,26.21959556484609
P28_sent110,0.0,3.4706875,P28,-47.458930593297104,-58.51273606040261,1.310623804317006,25.543473974527725
P27_sent031,0.0,5.3203125,P27,-53.21503537735849,-64.12070394817151,1.3106208583859131,11.811224289829962
P28_sent150,0.0,4.0546875,P28,-50.301958940756826,-59.22187614440918,1.3040602138662083,25.028459563441736
P25_sent125,0.0,4.005875,P25,-48.00380345394737,-65.34064744648181,1.3040602138662083,26.81146464556051
P25_sent191,0.0,4.002,P25,-45.68975738065327,-61.1037158203125,1.3040602138662083,19.98675009807168
P21_sent012,0.0,3.9990625,P21,-54.02200946136934,-61.8354167494663,1.3040602138662083,17.681805816835524
