file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P27_sent089,0.0,4.2236875,P27,-53.37461867559524,-66.22372104275611,1.8175948986252428,25.159638929936527
P24_sent044,0.0,5.001,P24,-51.084949171686745,-62.64300033569336,1.8175948986252428,9.640359687818279
P26_sent167,0.0,4.0029375,P26,-61.162359649811556,-63.586325073242186,1.8175926997656084,4.336897759899612
P24_sent000,0.0,5.0,P24,-54.31033509036145,-62.95608725914588,1.8175926997656084,18.562717899899127
P25_sent145,0.0,4.0049375,P25,-39.845016096105525,-63.562360000610354,1.8172019258727352,24.97505222893217
P24_sent052,0.0,5.004875,P24,-45.86324595256024,-59.12727552471739,1.8172019258727352,28.244206345321786
P24_sent084,0.0,5.001,P24,-54.103527390813255,-62.40041069362474,1.8172019258727352,19.919118703493176
P22_sent012,0.0,5.001,P22,-56.61527359437751,-59.42084849964488,1.8172019258727352,1.4642824915664292
P27_sent095,0.0,3.454125,P27,-55.62256286443149,-65.82214562098186,1.8109665779419963,14.738402147357613
P22_sent162,0.0,5.002,P22,-52.75491026606426,-58.02520348044003,1.8109665779419963,18.03438177485143
P29_sent161,0.0,5.5136875,P29,-52.934152293943534,-62.20160312652588,1.808851651483689,24.545842491075064
P24_sent002,0.0,5.006875,P24,-53.25003522670341,-60.34782682146345,1.8075229947687566,23.166340219712467
P24_sent038,0.0,5.002,P24,-54.5853374435241,-68.51621319697453,1.8073155745201919,27.4645192740464
P30_sent178,0.0,7.6709375,P30,-45.02377961601307,-50.267714616728995,1.7991213564293749,7.5976684709708024
P28_sent194,0.0,4.6553125,P28,-49.478410391971984,-62.770535469055176,1.7991213564293749,20.974832421097812
P25_sent053,0.0,4.0029375,P25,-44.98005653266332,-67.9788330078125,1.7991213564293749,27.034558531309017
P30_sent174,0.0,10.589875,P30,-35.779206332781456,-51.96816815270318,1.7991190945691287,12.085210145230748
P26_sent065,0.0,4.0049375,P26,-59.230694488065325,-65.26412348313765,1.7872581319003753,16.749598297098046
P23_sent185,0.0,10.0039375,P23,-39.64246853081163,-60.21414566040039,1.7869342117831741,23.77619403984625
P25_sent133,0.0,4.0049375,P25,-47.5582649576005,-64.95860350131989,1.7802491922970414,25.38840109501716
P30_sent152,0.0,5.589875,P30,-40.98728189519748,-52.12951171398163,1.7748218974744243,11.630679393465826
P28_sent028,0.0,3.797875,P28,-46.88316385582011,-61.26863765716553,1.7748218974744243,25.33619351523886
P27_sent079,0.0,4.6133125,P27,-49.02287581699346,-63.754492107190586,1.7748218974744243,25.971487389975707
P26_sent047,0.0,4.0029375,P26,-57.525101091394475,-60.741214864394244,1.7748218974744243,14.51205157386617
P24_sent020,0.0,4.9990625,P24,-55.1638703250502,-63.878955629136826,1.7748218974744243,24.734554719418597
P22_sent054,0.0,5.001,P22,-50.83811025351405,-57.38265419006348,1.7748218974744243,14.507117525682242
P22_sent002,0.0,5.001,P22,-52.50285124874498,-63.25638907296317,1.7748218974744243,13.179031586666614
P22_sent146,0.0,5.005875,P22,-52.42351891282565,-55.61272585069811,1.7748218974744243,13.057256682692955
P21_sent064,0.0,4.0029375,P21,-58.53620151538945,-63.065856388636995,1.7748218974744243,1.7114198463050414
P30_sent196,0.0,4.4873125,P30,-35.45821754404363,-51.30676627159119,1.7748189862718506,13.009031304732256
P30_sent048,0.0,5.4385,P30,-38.192678303736166,-50.47108855070891,1.7746680431287343,12.386411615967686
P30_sent188,0.0,7.2626875,P30,-37.466950643128456,-49.83478251865932,1.7746680431287343,12.191297956554518
P26_sent117,0.0,4.005875,P26,-57.7136444627193,-61.767896519150845,1.7746680431287343,18.354152803257193
P29_sent199,0.0,5.308625,P29,-52.71905644494329,-63.55343680911594,1.7746642969497386,17.551995577729702
P29_sent051,0.0,8.8125,P29,-48.38429678612059,-64.44742107391357,1.7585726615173376,19.354892107600485
P26_sent107,0.0,4.0019375,P26,-53.791373861494975,-60.55061247854522,1.7585726615173376,16.88230797289092
P30_sent194,0.0,4.2949375,P30,-37.69829250219555,-51.935458805250086,1.7585690189627095,13.289872638246992
P30_sent034,0.0,4.61525,P30,-39.31838485054348,-50.71750877017067,1.7514585170241677,12.37291971025704
P30_sent084,0.0,5.8633125,P30,-36.721726508989725,-48.80856375858701,1.746053422251618,11.925888393233604
P28_sent190,0.0,4.4795,P28,-48.529292495795964,-66.22269777151254,1.746046458589322,22.692268920632106
P28_sent154,0.0,4.6143125,P28,-52.97665611383442,-62.08882023737981,1.7379959220517145,21.14034429796213
P27_sent067,0.0,4.2539375,P27,-51.858262226654844,-65.1225836617606,1.7379959220517145,20.417926972585697
P28_sent138,0.0,4.7754375,P28,-51.0300723805147,-61.192917346954346,1.7379948878349254,24.32933049078339
P21_sent006,0.0,4.0039375,P21,-49.24900380810301,-58.989560508728026,1.7379948878349254,21.28950083132344
P30_sent004,0.0,4.2070625,P30,-40.28039230310262,-52.01753842389142,1.731657563603847,12.780222324415911
P27_sent053,0.0,4.4511875,P27,-49.10702066873589,-63.26419081006731,1.7253659301226476,7.901743787891245
P30_sent022,0.0,6.127,P30,-36.78583393003273,-51.17755544753302,1.7220898068011254,9.02072430086356
P21_sent162,0.0,4.001,P21,-50.44274595634422,-57.88194391462538,1.7170420860006814,23.40704515598847
P24_sent122,0.0,5.005875,P24,-51.5641752254509,-61.5169866349962,1.715848969680886,9.463640936181307
P22_sent128,0.0,5.001,P22,-56.13968373493976,-56.604962371116464,1.6982530027718963,11.107161670052264
P27_sent007,0.0,3.5595625,P27,-41.36921786723164,-62.26038106282552,1.6918865733860604,23.636820608400143
P26_sent083,0.0,4.0029375,P26,-63.14324552449749,-69.78610382080078,1.6918865733860604,13.63979537835261
P26_sent095,0.0,4.0039375,P26,-50.25518216080402,-58.548042569841655,1.690485525404478,20.97532844456346
P30_sent062,0.0,5.1591875,P30,-38.77378708657587,-48.54988762991769,1.689631036829194,11.781721651849443
P27_sent059,0.0,3.975625,P27,-51.2388977667298,-63.373724241514466,1.6771329488005766,26.1434625878407
P25_sent103,0.0,4.005875,P25,-36.42381588737469,-59.53430805206299,1.652717327929593,26.643551852610173
P23_sent085,0.0,10.0029375,P23,-42.784005511022045,-58.045777362325914,1.6527144167270194,19.245663054262433
P22_sent028,0.0,5.002,P22,-51.49856457078313,-54.4491643110911,1.6527144167270194,17.32124741706997
P25_sent123,0.0,4.004875,P25,-42.90140644629397,-64.65269424438476,1.6512385782646746,26.94379953373057
